seed,method,freeze,blockage_%,train_frac,train_samples,ft_epochs,selected_epoch,total_params,trainable_params,train_time_s,eval_time_s,val_acc_%,test_acc_%,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db,results_schema_version,job_path
789,FT,freeze_all,20,0.000000,0,2,0,82096,0,0.000000,,91.300000,92.083333,61.216667,80.266667,87.066667,90.183333,61.216667,70.650000,77.750000,82.300000,80.266667,86.450000,90.716667,93.216667,87.066667,91.300000,94.250000,95.950000,90.183333,93.433333,95.716667,97.233333,1.876720,11.966313,61.400000,80.783333,88.050000,90.683333,61.416667,70.983333,77.950000,82.550000,80.783333,86.800000,91.150000,93.450000,88.050000,92.083333,94.883333,96.366667,90.683333,93.866667,96.250000,97.483333,1.916881,12.240081,v4.1,jobs/finetune/trainfrac_0.000000/blockage_020/freeze_freeze_all
789,FT,freeze_all,20,0.000000,0,3,0,82096,0,0.000000,,91.300000,92.083333,61.216667,80.266667,87.066667,90.183333,61.216667,70.650000,77.750000,82.300000,80.266667,86.450000,90.716667,93.216667,87.066667,91.300000,94.250000,95.950000,90.183333,93.433333,95.716667,97.233333,1.876720,11.966313,61.400000,80.783333,88.050000,90.683333,61.416667,70.983333,77.950000,82.550000,80.783333,86.800000,91.150000,93.450000,88.050000,92.083333,94.883333,96.366667,90.683333,93.866667,96.250000,97.483333,1.916881,12.240081,v4.1,jobs/finetune/trainfrac_0.000000/blockage_020/freeze_freeze_all
789,FT,freeze_all,20,0.000000,0,5,0,82096,0,0.000000,,91.300000,92.083333,61.216667,80.266667,87.066667,90.183333,61.216667,70.650000,77.750000,82.300000,80.266667,86.450000,90.716667,93.216667,87.066667,91.300000,94.250000,95.950000,90.183333,93.433333,95.716667,97.233333,1.876720,11.966313,61.400000,80.783333,88.050000,90.683333,61.416667,70.983333,77.950000,82.550000,80.783333,86.800000,91.150000,93.450000,88.050000,92.083333,94.883333,96.366667,90.683333,93.866667,96.250000,97.483333,1.916881,12.240081,v4.1,jobs/finetune/trainfrac_0.000000/blockage_020/freeze_freeze_all
789,FT,freeze_all,20,0.000000,0,8,0,82096,0,0.000000,,91.300000,92.083333,61.216667,80.266667,87.066667,90.183333,61.216667,70.650000,77.750000,82.300000,80.266667,86.450000,90.716667,93.216667,87.066667,91.300000,94.250000,95.950000,90.183333,93.433333,95.716667,97.233333,1.876720,11.966313,61.400000,80.783333,88.050000,90.683333,61.416667,70.983333,77.950000,82.550000,80.783333,86.800000,91.150000,93.450000,88.050000,92.083333,94.883333,96.366667,90.683333,93.866667,96.250000,97.483333,1.916881,12.240081,v4.1,jobs/finetune/trainfrac_0.000000/blockage_020/freeze_freeze_all
789,FT,freeze_all,20,0.000000,0,10,0,82096,0,0.000000,,91.300000,92.083333,61.216667,80.266667,87.066667,90.183333,61.216667,70.650000,77.750000,82.300000,80.266667,86.450000,90.716667,93.216667,87.066667,91.300000,94.250000,95.950000,90.183333,93.433333,95.716667,97.233333,1.876720,11.966313,61.400000,80.783333,88.050000,90.683333,61.416667,70.983333,77.950000,82.550000,80.783333,86.800000,91.150000,93.450000,88.050000,92.083333,94.883333,96.366667,90.683333,93.866667,96.250000,97.483333,1.916881,12.240081,v4.1,jobs/finetune/trainfrac_0.000000/blockage_020/freeze_freeze_all
789,FT,freeze_all,20,0.000000,0,12,0,82096,0,0.000000,,91.300000,92.083333,61.216667,80.266667,87.066667,90.183333,61.216667,70.650000,77.750000,82.300000,80.266667,86.450000,90.716667,93.216667,87.066667,91.300000,94.250000,95.950000,90.183333,93.433333,95.716667,97.233333,1.876720,11.966313,61.400000,80.783333,88.050000,90.683333,61.416667,70.983333,77.950000,82.550000,80.783333,86.800000,91.150000,93.450000,88.050000,92.083333,94.883333,96.366667,90.683333,93.866667,96.250000,97.483333,1.916881,12.240081,v4.1,jobs/finetune/trainfrac_0.000000/blockage_020/freeze_freeze_all
789,FT,freeze_all,40,0.000000,0,1,0,82096,0,0.000000,,85.766667,86.533333,50.733333,71.833333,80.166667,85.633333,50.733333,59.050000,65.850000,71.216667,71.833333,78.566667,83.600000,87.066667,80.166667,85.766667,89.783333,92.383333,85.633333,90.216667,93.333333,95.366667,3.271467,16.683949,51.166667,72.333333,81.066667,85.983333,51.183333,59.850000,67.233333,72.150000,72.333333,79.233333,84.366667,87.800000,81.066667,86.533333,90.416667,92.616667,85.983333,90.350000,93.433333,95.283333,3.194245,16.264000,v4.1,jobs/finetune/trainfrac_0.000000/blockage_040/freeze_freeze_all
789,FT,freeze_all,40,0.000000,0,2,0,82096,0,0.000000,,85.766667,86.533333,50.733333,71.833333,80.166667,85.633333,50.733333,59.050000,65.850000,71.216667,71.833333,78.566667,83.600000,87.066667,80.166667,85.766667,89.783333,92.383333,85.633333,90.216667,93.333333,95.366667,3.271467,16.683949,51.166667,72.333333,81.066667,85.983333,51.183333,59.850000,67.233333,72.150000,72.333333,79.233333,84.366667,87.800000,81.066667,86.533333,90.416667,92.616667,85.983333,90.350000,93.433333,95.283333,3.194245,16.264000,v4.1,jobs/finetune/trainfrac_0.000000/blockage_040/freeze_freeze_all
789,FT,freeze_all,40,0.000000,0,3,0,82096,0,0.000000,,85.766667,86.533333,50.733333,71.833333,80.166667,85.633333,50.733333,59.050000,65.850000,71.216667,71.833333,78.566667,83.600000,87.066667,80.166667,85.766667,89.783333,92.383333,85.633333,90.216667,93.333333,95.366667,3.271467,16.683949,51.166667,72.333333,81.066667,85.983333,51.183333,59.850000,67.233333,72.150000,72.333333,79.233333,84.366667,87.800000,81.066667,86.533333,90.416667,92.616667,85.983333,90.350000,93.433333,95.283333,3.194245,16.264000,v4.1,jobs/finetune/trainfrac_0.000000/blockage_040/freeze_freeze_all
789,FT,freeze_all,40,0.000000,0,5,0,82096,0,0.000000,,85.766667,86.533333,50.733333,71.833333,80.166667,85.633333,50.733333,59.050000,65.850000,71.216667,71.833333,78.566667,83.600000,87.066667,80.166667,85.766667,89.783333,92.383333,85.633333,90.216667,93.333333,95.366667,3.271467,16.683949,51.166667,72.333333,81.066667,85.983333,51.183333,59.850000,67.233333,72.150000,72.333333,79.233333,84.366667,87.800000,81.066667,86.533333,90.416667,92.616667,85.983333,90.350000,93.433333,95.283333,3.194245,16.264000,v4.1,jobs/finetune/trainfrac_0.000000/blockage_040/freeze_freeze_all
